iter	Logloss	F1
0	0.6511176307	0.7222914098
1	0.6324957061	0.7285653974
2	0.6126984293	0.7331033999
3	0.5918139789	0.7413193235
4	0.5757806366	0.7588799518
5	0.5608378528	0.7618979891
6	0.5541047746	0.7671816752
7	0.5492961196	0.7671816752
8	0.5411197517	0.7590593976
9	0.5348584697	0.7650892627
10	0.5287393048	0.7581111491
11	0.5241075961	0.7673724621
12	0.5203905145	0.766419475
13	0.5113655949	0.7690938246
14	0.5096121219	0.7655194619
15	0.5055239389	0.7753372989
16	0.5026456803	0.77674024
17	0.5003619159	0.7739872091
18	0.4935320937	0.7782462682
19	0.4843523579	0.7853176628
20	0.4820680347	0.7827493283
21	0.480305824	0.7823556902
22	0.4770564567	0.7882551441
23	0.475667387	0.7880571327
24	0.4732954853	0.7886514656
25	0.4718033149	0.7888497758
26	0.4709101291	0.7884532551
27	0.4691409524	0.7882551441
28	0.4671246476	0.7876614082
29	0.4658691332	0.7864766156
30	0.4652165598	0.7872660809
31	0.4644422026	0.7862794966
32	0.4633268419	0.7903755555
33	0.4627636006	0.7897834717
34	0.4606023342	0.7913643372
35	0.4601331162	0.7950416777
36	0.4593599496	0.7950416777
37	0.4583619362	0.7984952822
38	0.4572023735	0.7982969686
39	0.4517778417	0.8016817523
40	0.4509349759	0.801481853
41	0.4491668509	0.7992265571
42	0.4484416324	0.7994269362
43	0.4461270875	0.7998279961
44	0.442492618	0.8071174398
45	0.4415932984	0.8067155175
46	0.4385261101	0.8139576307
47	0.4372086915	0.8143635802
48	0.4366055849	0.8101446708
49	0.4359123468	0.8141605548
50	0.4358198309	0.8141605548
51	0.4349509889	0.8141605548
52	0.4336163651	0.815176695
53	0.4327988566	0.8159914352
54	0.4322075724	0.8153802275
55	0.4320153107	0.811361931
56	0.4314356784	0.8159914352
57	0.4294777974	0.815176695
58	0.4271666446	0.8172166038
59	0.4268399607	0.8168078057
60	0.4263044437	0.8127866993
61	0.425467639	0.8168078057
62	0.425451686	0.8168078057
63	0.4245378737	0.8157875975
64	0.4241409011	0.8131946955
65	0.4229528279	0.8129906462
66	0.4226757772	0.8127866993
67	0.4226247822	0.8127866993
68	0.4214225377	0.8142164802
69	0.4179347802	0.8238870036
70	0.4178747813	0.8236808257
71	0.4166826029	0.8172972993
72	0.4145312204	0.8320194946
73	0.4139762038	0.828032347
74	0.4137140403	0.8278240894
75	0.4135148443	0.8274078882
76	0.4134893772	0.8274078882
77	0.4129093457	0.8274078882
78	0.4112152309	0.8271999445
79	0.4092436975	0.8278240894
80	0.4087251988	0.8274078882
81	0.4080075639	0.828032347
82	0.4076223347	0.8284491768
83	0.4074832637	0.828032347
84	0.4065077373	0.8284491768
85	0.4055654187	0.8297021878
86	0.4036736789	0.8303301158
87	0.4013963436	0.8347413472
88	0.398909553	0.8277809984
89	0.3967852793	0.833273058
90	0.3964452992	0.833273058
91	0.3945376525	0.8303065543
92	0.3928680846	0.8313634233
93	0.3920657162	0.8317869247
94	0.3910840785	0.8319988372
95	0.3904354981	0.8322108577
96	0.3899984664	0.8319988372
97	0.3893868849	0.8277372282
98	0.3884854296	0.8281603758
99	0.3883469697	0.8281603758
100	0.3876725208	0.8281603758
101	0.3868929872	0.828795909
102	0.386208993	0.8292201401
103	0.385197095	0.8334852536
104	0.3839003897	0.8302826201
105	0.3827575749	0.8313478263
106	0.3812613943	0.830921416
107	0.3811209607	0.8307083748
108	0.380795289	0.8307083748
109	0.380260458	0.8311345665
110	0.3792909715	0.8311345665
111	0.3778964358	0.835190532
112	0.3769682268	0.8324157693
113	0.3751731214	0.8339155072
114	0.3735810793	0.8358517007
115	0.372822975	0.8352053047
116	0.3719325293	0.8349900614
117	0.3718436547	0.8352053047
118	0.3709593337	0.8354206589
119	0.367730787	0.8358517007
120	0.3664644972	0.8407812
121	0.3651927498	0.8409977208
122	0.3650177396	0.8403484927
123	0.3644894361	0.8409977208
124	0.3617874645	0.8412143532
125	0.3611805132	0.8375803253
126	0.3600598069	0.8414310972
127	0.3586821845	0.8382304042
128	0.3578291485	0.8463431674
129	0.3561440526	0.8547945223
130	0.355837838	0.8550131558
131	0.3555965908	0.8550131558
132	0.3546654744	0.8552319011
133	0.3526416169	0.8485250266
134	0.3524063741	0.8494009234
135	0.351806448	0.8462278835
136	0.351672742	0.8462278835
137	0.3512501673	0.8500590336
138	0.3502185202	0.8534254648
139	0.349542864	0.8534254648
140	0.3489910271	0.8532059543
141	0.3483800722	0.8538648248
142	0.3475158069	0.8545247137
143	0.3467174535	0.8545247137
144	0.3448564066	0.8594094331
145	0.3445467908	0.858967772
146	0.3444110561	0.8591885458
147	0.3436776181	0.8596304341
148	0.3420853533	0.8607371458
149	0.3420520725	0.8607371458
150	0.341288553	0.8609588302
151	0.3410698266	0.8607371458
152	0.3407215196	0.8607371458
153	0.3403754438	0.861624569
154	0.3389327696	0.8580614184
155	0.33875305	0.8587278123
156	0.3374946242	0.861624569
157	0.3352787517	0.8673901065
158	0.3345043124	0.8673901065
159	0.3338260996	0.8673901065
160	0.3307313081	0.8707533251
161	0.3303779303	0.8703033898
162	0.330066158	0.8703033898
163	0.3290407293	0.8703033898
164	0.3283306187	0.8705282993
165	0.3278523675	0.8705282993
166	0.3277517229	0.8712037258
167	0.3272746735	0.8709784672
168	0.3260296858	0.8705282993
169	0.324563245	0.8716545927
170	0.3239250948	0.8712037258
171	0.323242824	0.8714291009
172	0.3226610376	0.8721059265
173	0.3220291123	0.8732363086
174	0.3196208954	0.8736892824
175	0.3186536838	0.8739159455
176	0.3184750085	0.8734627368
177	0.3181675525	0.8736892824
178	0.3163232618	0.8750510276
179	0.3162892027	0.8752783979
180	0.3151425847	0.8764170244
181	0.3141739853	0.8766451052
182	0.31359803	0.8766451052
183	0.313353185	0.8766451052
184	0.3129454232	0.8771016233
185	0.3124605836	0.8771016233
186	0.3123542285	0.8773300606
187	0.3116682888	0.8784740347
188	0.3108665942	0.8784740347
189	0.3097815126	0.8782450013
190	0.3084544647	0.8789324601
191	0.3072320489	0.8789324601
192	0.3065166793	0.879620996
193	0.3029521353	0.8803106115
194	0.302580055	0.8803106115
195	0.3024919151	0.8803106115
196	0.3001080725	0.8830799205
197	0.2998782266	0.8830799205
198	0.2997084327	0.8835431669
199	0.2992997431	0.8837749723
200	0.2982834096	0.8856338042
201	0.2976395342	0.8847034119
202	0.2973900753	0.8842389484
203	0.2972857336	0.8840068995
204	0.2951836543	0.8856338042
205	0.294927959	0.8854010227
206	0.2947454513	0.8854010227
207	0.2946284949	0.8854010227
208	0.293830109	0.8851683636
209	0.2927308409	0.8858667081
210	0.2918425695	0.8863328836
211	0.2917357453	0.8863328836
212	0.2895728137	0.8872667081
213	0.2883660505	0.8877343587
214	0.2881814872	0.8877343587
215	0.2877107939	0.8879683689
216	0.2857293472	0.8877343587
217	0.2854979214	0.8879683689
218	0.2853861226	0.8877343587
219	0.285044873	0.8882025025
220	0.2847357985	0.8884367596
221	0.282994991	0.889609901
222	0.282833096	0.8893750249
223	0.2827651379	0.8893750249
224	0.2816263194	0.8907861446
225	0.2815884858	0.8910217667
226	0.2797180447	0.892674618
227	0.2795794163	0.8919655029
228	0.2795456259	0.8922017494
229	0.2792563442	0.8919655029
230	0.2787344434	0.8922017494
231	0.2784888846	0.891493385
232	0.2781846562	0.8919655029
233	0.2774593474	0.8929112403
234	0.2771351319	0.8929112403
235	0.276767863	0.8929112403
236	0.2763784281	0.892438121
237	0.2758175243	0.8929112403
238	0.2729617891	0.8950464996
239	0.2728224331	0.8943336127
240	0.2724189099	0.8948087444
241	0.2701393355	0.901194767
242	0.2698095528	0.9014341009
243	0.269127947	0.901673562
244	0.2685885559	0.9019131503
245	0.2685069699	0.901673562
246	0.2684027539	0.9019131503
247	0.2680121515	0.9023927091
248	0.267909463	0.89862805
249	0.2676252252	0.8988678394
250	0.266976728	0.8983883884
251	0.263914882	0.9026326798
252	0.2635777331	0.9026326798
253	0.2634250929	0.9028727782
254	0.2630560098	0.9066121348
255	0.2605867546	0.9117713779
256	0.2596766761	0.9122541615
257	0.259532245	0.9124957451
258	0.2589266139	0.9127374567
259	0.2573662124	0.9141904196
260	0.2568597332	0.9139479379
261	0.2567972796	0.9137055849
262	0.2562042338	0.9151616341
263	0.2558656404	0.9154047603
264	0.2556131925	0.9154047603
265	0.2548855665	0.9112016149
266	0.2539027721	0.9104738735
267	0.2537406063	0.9116874226
268	0.2528370925	0.9116874226
269	0.2525668265	0.911444454
270	0.251850223	0.911444454
271	0.2514819313	0.9121737485
272	0.2493039171	0.9161349145
273	0.2492382839	0.9163785581
274	0.2487986653	0.9166223314
275	0.2483063786	0.9166223314
276	0.2480370981	0.9131479585
277	0.2480169335	0.9131479585
278	0.2480035037	0.9131479585
279	0.2450162874	0.9178431458
280	0.2447023526	0.918087699
281	0.2437738371	0.9220261821
282	0.2437063827	0.9220261821
283	0.2428061246	0.9227614501
284	0.2423130091	0.9227614501
285	0.2411351414	0.9264305188
286	0.2408820837	0.9264305188
287	0.2399810105	0.9269216216
288	0.2384268965	0.927659253
289	0.2378923928	0.9283980593
290	0.2370040877	0.9288912509
291	0.2359642865	0.9288912509
292	0.2358338793	0.9293849668
293	0.2354997337	0.9291380433
294	0.2349558182	0.9296320217
295	0.2341048518	0.9293849668
296	0.2335863171	0.9296320217
297	0.2331066786	0.9293849668
298	0.233050543	0.9293849668
299	0.2328586594	0.9291380433
300	0.2326332729	0.9293849668
301	0.2322962173	0.9288912509
302	0.2315859169	0.9303739748
303	0.2304923181	0.9301265256
304	0.2304276155	0.9303739748
305	0.2301151733	0.9303739748
306	0.2295830219	0.9306215558
307	0.2286641777	0.9308692686
308	0.2284886971	0.9311171133
309	0.2284060552	0.9311171133
310	0.2277916982	0.9311171133
311	0.2276509147	0.9311171133
312	0.2274123655	0.9311171133
313	0.2273006531	0.9311171133
314	0.2271314352	0.9311171133
315	0.2268131485	0.93136509
316	0.2267749078	0.93136509
317	0.2265824688	0.9316131988
318	0.2261823666	0.9316131988
319	0.2256256127	0.9316131988
320	0.2248436251	0.9318614399
321	0.2247575299	0.9316131988
322	0.2244646613	0.9316131988
323	0.223581233	0.9321098133
324	0.2233205044	0.9316131988
325	0.2230256907	0.9321098133
326	0.2229243942	0.9321098133
327	0.2229082912	0.9321098133
328	0.2220339026	0.9326069574
329	0.2218622483	0.9326069574
330	0.2214119291	0.9323583191
331	0.2209759611	0.9326069574
332	0.2204390561	0.9331046322
333	0.219958083	0.9331046322
334	0.2190614918	0.933852141
335	0.2188592572	0.9341015769
336	0.2176925424	0.9351006541
337	0.2168105425	0.9361018708
338	0.2166240675	0.9361018708
339	0.2161649049	0.9361018708
340	0.2156833053	0.9366032836
341	0.2146877871	0.9363525101
342	0.2142281306	0.9368541915
343	0.2131728767	0.9368541915
344	0.2129503288	0.9373564108
345	0.2123570872	0.9415088585
346	0.2122254928	0.9410058774
347	0.211226472	0.9420123777
348	0.2111602749	0.9420123777
349	0.210761425	0.9412573008
350	0.2103645962	0.9417605508
351	0.2099976872	0.9378591688
352	0.2099694053	0.9417605508
353	0.2095314643	0.9420123777
354	0.2093881854	0.9386143178
355	0.2090589776	0.9391184265
356	0.2089198659	0.9391184265
357	0.2082110089	0.9393706839
358	0.2079211848	0.9393706839
359	0.2068727161	0.9391184265
360	0.2068459599	0.9391184265
361	0.2065109451	0.9393706839
362	0.2062532327	0.9391184265
363	0.2060139362	0.9398756056
364	0.2059032959	0.9398756056
365	0.2057765652	0.9398756056
366	0.2056351135	0.94012827
367	0.2053719037	0.9398756056
368	0.2052007131	0.9398756056
369	0.2051021474	0.94012827
370	0.2049976313	0.94012827
371	0.2039481227	0.9388663045
372	0.2037539924	0.9393706839
373	0.2030612207	0.9396230769
374	0.2030069148	0.9403810703
375	0.202693252	0.9406340066
376	0.2024034744	0.9406340066
377	0.2022493712	0.9403810703
378	0.2020645675	0.9403810703
379	0.2020090785	0.9406340066
380	0.2017163076	0.9403810703
381	0.200798951	0.9398756056
382	0.2006325127	0.9396230769
383	0.2001459971	0.9396230769
384	0.1999442623	0.9398756056
385	0.1991288775	0.941647114
386	0.1988545299	0.9413936326
387	0.1980561075	0.9421544864
388	0.1976855027	0.9419007319
389	0.1974568448	0.9419007319
390	0.1968389963	0.9419007319
391	0.196462196	0.941647114
392	0.1963121645	0.9419007319
393	0.1954447294	0.9429165712
394	0.1949824154	0.9431708735
395	0.1943557366	0.943425313
396	0.1942736793	0.943425313
397	0.1939407227	0.943425313
398	0.1937681202	0.9436798898
399	0.1930460816	0.943934604
400	0.1928861831	0.9441894558
401	0.1925339578	0.9446995724
402	0.1922087195	0.9446995724
403	0.1921186648	0.9446995724
404	0.1915996406	0.9446995724
405	0.1914084186	0.9452102405
406	0.1909595382	0.9454657817
407	0.1905091155	0.9452102405
408	0.1902496133	0.9454657817
409	0.1896398374	0.9457214611
410	0.1893406448	0.9452102405
411	0.1889246515	0.9524905104
412	0.1885446145	0.9522349161
413	0.1882751148	0.9488629813
414	0.1874049761	0.9524905104
415	0.1872327418	0.9524905104
416	0.1857850943	0.9532581173
417	0.1853752311	0.9537705429
418	0.1851666693	0.9535142612
419	0.1848783409	0.9542835198
420	0.1846761524	0.9545402152
421	0.1838478829	0.9547970487
422	0.1833528213	0.9555683793
423	0.1831817699	0.9555683793
424	0.182979634	0.9553111306
425	0.1824177933	0.9558257665
426	0.1818462828	0.9560832924
427	0.1816410424	0.9560832924
428	0.1815253528	0.9563409571
429	0.1808334795	0.9560832924
430	0.1801768397	0.9560832924
431	0.1797742546	0.9560832924
432	0.1794590376	0.9560832924
433	0.1791576105	0.9558257665
434	0.178897941	0.9563409571
435	0.1780212981	0.9563409571
436	0.1780003752	0.9560832924
437	0.1779888966	0.9560832924
438	0.1779495644	0.9560832924
439	0.1773593301	0.9560832924
440	0.1769996544	0.9558257665
441	0.17582759	0.9563409571
442	0.1752551356	0.9563409571
443	0.1747021002	0.9558257665
444	0.1744773346	0.9560832924
445	0.173948749	0.9571147851
446	0.1737154649	0.9571147851
447	0.1735136588	0.9573730062
448	0.1729622626	0.9576313666
449	0.1725991127	0.9576313666
450	0.1718251738	0.958148506
451	0.1709782118	0.9578898665
452	0.1707978657	0.9578898665
453	0.1703837301	0.9586662042
454	0.1701781209	0.9586662042
455	0.1695355156	0.9589252632
456	0.1689604829	0.9586662042
457	0.1676487908	0.9599629006
458	0.1671977338	0.9599629006
459	0.1660435126	0.9597032808
460	0.1659020218	0.9594438014
461	0.1656474244	0.9599629006
462	0.1654456585	0.9597032808
463	0.1648655858	0.9599629006
464	0.163989581	0.9599629006
465	0.1638622282	0.9597032808
466	0.1637175385	0.9599629006
467	0.1634036388	0.9594438014
468	0.1624569591	0.9599629006
469	0.1621189702	0.9594438014
470	0.1618686526	0.9597032808
471	0.1617158159	0.9597032808
472	0.1614326123	0.960222661
473	0.1613783349	0.960222661
474	0.1612672656	0.9594438014
475	0.1612155111	0.9599629006
476	0.160494985	0.9599629006
477	0.1602507796	0.9594438014
478	0.1592516007	0.9604825619
479	0.1591855305	0.9604825619
480	0.158940579	0.960222661
481	0.1587900984	0.960222661
482	0.158687723	0.960222661
483	0.1582440355	0.960222661
484	0.1577137856	0.9604825619
485	0.1573821753	0.9607426036
486	0.1571517668	0.9610027862
487	0.1561751059	0.9615235742
488	0.154551218	0.962044927
489	0.1537625725	0.9636123832
490	0.1532462839	0.9638741227
491	0.1530827279	0.9638741227
492	0.151949838	0.9646601948
493	0.151520237	0.96544755
494	0.1512692416	0.9651849555
495	0.1510491549	0.9657102875
496	0.1502999395	0.9664993586
497	0.1502919003	0.9662361916
498	0.1501190096	0.9662361916
499	0.14997756	0.9664993586
500	0.149693224	0.9664993586
501	0.1491378645	0.965973168
502	0.14870961	0.9670261227
503	0.1480699587	0.9664993586
504	0.1476750252	0.9664993586
505	0.1474029115	0.9667626689
